channels,pos_pixels,neg_pixels
0,899,1405
1,841,1463
2,918,1386
3,930,1374
4,974,1330
5,1065,1239
6,912,1392
7,1194,1110
8,875,1429
9,1001,1303
10,929,1375
11,1101,1203
12,954,1350
13,1111,1193
14,974,1330
15,765,1539
16,892,1412
17,946,1358
18,1074,1230
19,991,1313
20,895,1409
21,789,1515
22,886,1418
23,938,1366
24,1126,1178
25,1007,1297
26,1041,1263
27,975,1329
28,1027,1277
29,877,1427
30,759,1545
31,892,1412
32,1081,1223
33,898,1406
34,899,1405
35,870,1434
36,1117,1187
37,684,1620
38,1034,1270
39,538,1766
40,702,1602
41,1011,1293
42,756,1548
43,957,1347
44,956,1348
45,856,1448
46,975,1329
47,727,1577
48,945,1359
49,968,1336
50,817,1487
51,818,1486
52,809,1495
53,989,1315
54,1048,1256
55,1146,1158
56,906,1398
57,1003,1301
58,1034,1270
59,1031,1273
60,874,1430
61,1119,1185
62,1003,1301
63,938,1366
64,1052,1252
65,729,1575
66,810,1494
67,950,1354
68,1138,1166
69,998,1306
70,891,1413
71,1060,1244
72,693,1611
73,957,1347
74,984,1320
75,789,1515
76,1081,1223
77,997,1307
78,882,1422
79,832,1472
80,1055,1249
81,1099,1205
82,849,1455
83,1010,1294
84,766,1538
85,1107,1197
86,810,1494
87,912,1392
88,1045,1259
89,729,1575
90,941,1363
91,828,1476
92,878,1426
93,1053,1251
94,1048,1256
95,1071,1233
96,931,1373
97,225,2079
98,995,1309
99,998,1306
100,1033,1271
101,1024,1280
102,958,1346
103,944,1360
104,698,1606
105,972,1332
106,825,1479
107,980,1324
108,918,1386
109,1072,1232
110,977,1327
111,821,1483
112,1050,1254
113,760,1544
114,949,1355
115,930,1374
116,947,1357
117,1075,1229
118,944,1360
119,1068,1236
120,1003,1301
121,879,1425
122,853,1451
123,901,1403
124,958,1346
125,1077,1227
126,1041,1263
127,1008,1296
128,1056,1248
129,1099,1205
130,993,1311
131,824,1480
132,1015,1289
133,1085,1219
134,949,1355
135,1117,1187
136,1160,1144
137,945,1359
138,866,1438
139,1096,1208
140,948,1356
141,953,1351
142,909,1395
143,864,1440
144,911,1393
145,1057,1247
146,921,1383
147,1083,1221
148,1100,1204
149,831,1473
150,971,1333
151,1105,1199
152,951,1353
153,1021,1283
154,1009,1295
155,1032,1272
156,875,1429
157,1186,1118
158,1079,1225
159,1046,1258
160,894,1410
161,953,1351
162,1021,1283
163,919,1385
164,1102,1202
165,953,1351
166,1080,1224
167,931,1373
168,961,1343
169,1087,1217
170,995,1309
171,268,2036
172,663,1641
173,810,1494
174,1107,1197
175,974,1330
176,1106,1198
177,903,1401
178,785,1519
179,883,1421
180,889,1415
181,1056,1248
182,790,1514
183,957,1347
184,737,1567
185,951,1353
186,981,1323
187,745,1559
188,1174,1130
189,969,1335
190,972,1332
191,963,1341
192,734,1570
193,871,1433
194,1082,1222
195,895,1409
196,935,1369
197,871,1433
198,1033,1271
199,993,1311
200,818,1486
201,761,1543
202,772,1532
203,670,1634
204,832,1472
205,1007,1297
206,978,1326
207,948,1356
208,882,1422
209,245,2059
210,730,1574
211,964,1340
212,978,1326
213,950,1354
214,1109,1195
215,782,1522
216,874,1430
217,1115,1189
218,884,1420
219,866,1438
220,1013,1291
221,1000,1304
222,1007,1297
223,1004,1300
224,798,1506
225,951,1353
226,797,1507
227,830,1474
228,917,1387
229,970,1334
230,786,1518
231,1035,1269
232,908,1396
233,996,1308
234,890,1414
235,664,1640
236,965,1339
237,845,1459
238,796,1508
239,850,1454
240,816,1488
241,840,1464
