channels,pos_pixels,neg_pixels
0,576,0
1,126,450
2,62,514
3,91,485
4,30,546
5,95,481
6,576,0
7,331,245
8,576,0
9,39,537
10,94,482
11,70,506
12,576,0
13,576,0
14,25,551
15,106,470
16,576,0
17,576,0
18,106,470
19,576,0
20,576,0
21,576,0
22,576,0
23,576,0
24,236,340
25,576,0
26,80,496
27,576,0
28,90,486
29,26,550
30,576,0
31,105,471
32,576,0
33,576,0
34,107,469
35,576,0
36,576,0
37,576,0
38,576,0
39,576,0
40,576,0
41,72,504
42,576,0
43,202,374
44,37,539
45,576,0
46,576,0
47,68,508
48,57,519
49,33,543
50,576,0
51,51,525
52,576,0
53,576,0
54,86,490
55,576,0
56,576,0
57,31,545
58,37,539
59,576,0
60,49,527
61,70,506
62,576,0
63,576,0
64,576,0
65,576,0
66,177,399
67,57,519
68,576,0
69,576,0
70,576,0
71,23,553
72,576,0
73,576,0
74,5,571
75,576,0
76,576,0
77,576,0
78,55,521
79,576,0
80,576,0
81,576,0
82,576,0
83,54,522
84,141,435
85,576,0
86,576,0
87,97,479
88,8,568
89,576,0
90,98,478
91,576,0
92,576,0
93,110,466
94,3,573
95,75,501
96,80,496
97,576,0
98,1,575
99,576,0
100,9,567
101,576,0
102,576,0
103,576,0
104,576,0
105,72,504
106,21,555
107,75,501
108,576,0
109,113,463
110,576,0
111,85,491
112,33,543
113,576,0
114,576,0
115,576,0
116,23,553
117,72,504
118,90,486
119,576,0
120,271,305
121,576,0
122,38,538
123,576,0
124,17,559
125,52,524
126,17,559
127,118,458
128,50,526
129,53,523
130,576,0
131,576,0
132,576,0
133,87,489
134,97,479
135,576,0
136,576,0
137,87,489
138,18,558
139,17,559
140,576,0
141,85,491
142,44,532
143,8,568
144,10,566
145,576,0
146,576,0
147,576,0
148,576,0
149,576,0
150,59,517
151,81,495
152,576,0
153,26,550
154,576,0
155,576,0
156,19,557
157,44,532
158,576,0
159,96,480
160,576,0
161,576,0
162,11,565
163,7,569
164,135,441
165,576,0
166,59,517
167,576,0
168,576,0
169,21,555
170,3,573
171,58,518
172,576,0
173,576,0
174,576,0
175,576,0
176,57,519
177,576,0
178,75,501
179,5,571
180,576,0
181,82,494
182,576,0
183,576,0
184,576,0
185,576,0
186,103,473
187,576,0
188,576,0
189,64,512
190,576,0
191,101,475
192,576,0
193,52,524
194,576,0
195,84,492
196,576,0
197,576,0
198,90,486
199,576,0
200,576,0
201,576,0
202,5,571
203,576,0
204,576,0
205,105,471
206,576,0
207,87,489
208,576,0
209,576,0
210,8,568
211,576,0
212,576,0
213,576,0
214,51,525
215,576,0
216,576,0
217,83,493
218,123,453
219,2,574
220,576,0
221,2,574
222,75,501
223,576,0
224,47,529
225,4,572
226,61,515
227,104,472
228,576,0
229,124,452
230,69,507
231,576,0
232,72,504
233,576,0
234,576,0
235,576,0
236,22,554
237,576,0
238,135,441
239,576,0
240,576,0
241,576,0
242,576,0
243,175,401
244,576,0
245,139,437
246,576,0
247,576,0
248,103,473
249,88,488
250,102,474
251,99,477
252,576,0
253,94,482
254,576,0
255,32,544
256,36,540
257,576,0
258,576,0
259,82,494
260,101,475
261,576,0
262,87,489
263,61,515
264,90,486
265,576,0
266,86,490
267,1,575
268,576,0
269,576,0
270,103,473
271,576,0
272,19,557
273,201,375
274,576,0
275,14,562
276,16,560
277,576,0
278,576,0
279,11,565
280,46,530
281,576,0
282,44,532
283,576,0
284,89,487
285,576,0
286,576,0
287,44,532
288,576,0
289,46,530
290,576,0
291,40,536
292,511,65
293,42,534
294,69,507
295,130,446
296,576,0
297,87,489
298,155,421
299,576,0
300,41,535
301,576,0
302,50,526
303,72,504
304,44,532
305,45,531
306,118,458
307,18,558
308,21,555
309,138,438
310,576,0
311,37,539
312,576,0
313,104,472
314,576,0
315,576,0
316,576,0
317,141,435
318,576,0
319,576,0
320,576,0
321,576,0
322,576,0
323,576,0
324,195,381
325,576,0
326,210,366
327,133,443
328,52,524
329,43,533
330,576,0
331,576,0
332,576,0
333,214,362
334,576,0
335,576,0
336,576,0
337,147,429
338,62,514
339,26,550
340,576,0
341,80,496
342,48,528
343,63,513
344,4,572
345,46,530
346,576,0
347,576,0
348,12,564
349,95,481
350,576,0
351,576,0
352,576,0
353,576,0
354,576,0
355,576,0
356,576,0
357,576,0
358,576,0
359,19,557
360,576,0
361,576,0
362,210,366
363,93,483
364,87,489
365,50,526
366,576,0
367,576,0
368,576,0
369,88,488
370,31,545
371,285,291
372,576,0
373,9,567
374,128,448
375,576,0
376,576,0
377,67,509
378,576,0
379,576,0
380,576,0
381,6,570
382,576,0
383,126,450
384,9,567
385,576,0
386,576,0
387,265,311
388,576,0
389,576,0
390,33,543
391,576,0
392,89,487
393,86,490
394,14,562
395,576,0
396,576,0
397,127,449
398,175,401
399,576,0
400,576,0
401,10,566
402,397,179
403,576,0
404,576,0
405,576,0
406,26,550
407,81,495
408,25,551
409,576,0
410,576,0
411,67,509
412,576,0
413,576,0
414,70,506
415,576,0
416,576,0
417,28,548
418,65,511
419,576,0
420,576,0
421,576,0
422,148,428
423,117,459
424,576,0
425,52,524
426,576,0
427,576,0
428,576,0
429,470,106
430,105,471
431,67,509
432,576,0
433,576,0
434,0,576
435,576,0
436,104,472
437,576,0
438,9,567
439,576,0
440,576,0
